"RawUserName","DedupHash","UserPrincipalName","DisplayName","Password","ObjectId","Status","DedupHashAttribute"
"dedup-test-1","c788f81698c65e175673c83da2ea0539c539a929ca0985169eb81157563b793d","c788f81698c65e175673c83da2ea0539c539a929ca0985169eb81157563b793d@MarsMSCustomer.onmicrosoft.com","EEID User 1","","2e90b21a-78eb-4c58-b460-c0f6efc77c23","SkippedExisting","Ignored"
"dedup-test-2","64f110b462b8907d8ca360fb6dc96f6036a1d8f8100df76215d21ef68ab19a23","64f110b462b8907d8ca360fb6dc96f6036a1d8f8100df76215d21ef68ab19a23@MarsMSCustomer.onmicrosoft.com","EEID User 2","","c96bddf4-6b77-4ddd-a828-3a2f1d20dc4f","SkippedExisting","Ignored"
"dedup-test-3","75402ee6d5bb2ed403581805161d854d97a5361305ea95792dfe4a4fc2168894","75402ee6d5bb2ed403581805161d854d97a5361305ea95792dfe4a4fc2168894@MarsMSCustomer.onmicrosoft.com","EEID User 3","","43b92d69-d5c6-435b-ad4a-6525e259f4d6","SkippedExisting","Ignored"
"dedup-test-4","9007ae8a2bbac0e120e2d783b970d21d1dcde1340a727ce8ca3db7c122303510","9007ae8a2bbac0e120e2d783b970d21d1dcde1340a727ce8ca3db7c122303510@MarsMSCustomer.onmicrosoft.com","EEID User 4","","2e13dd38-b867-4c7b-99f7-2aaf3fe8b97f","SkippedExisting","Ignored"
"dedup-test-5","e9471e916f17f506e2d5cea11398e550fc2a84dd636cea93a08a4379d16784d1","e9471e916f17f506e2d5cea11398e550fc2a84dd636cea93a08a4379d16784d1@MarsMSCustomer.onmicrosoft.com","EEID User 5","","286c525e-9892-425c-906e-3819bd1ca3e3","SkippedExisting","Ignored"
"dedup-test-6","c0418e84f6f424533fd65e638e537dc93552cec98363a269b8e89cc58665e3e0","c0418e84f6f424533fd65e638e537dc93552cec98363a269b8e89cc58665e3e0@MarsMSCustomer.onmicrosoft.com","EEID User 6","","d1b43917-ed8a-4a03-8e26-931d7045afd9","SkippedExisting","Ignored"
"dedup-test-7","190b3f842c57bf38248d96ceadce6a1f6f4e5fbb4ce81ae22deff1dc22985113","190b3f842c57bf38248d96ceadce6a1f6f4e5fbb4ce81ae22deff1dc22985113@MarsMSCustomer.onmicrosoft.com","EEID User 7","","5600fe45-d922-4170-9193-c1b81195abd0","SkippedExisting","Ignored"
"dedup-test-8","562128747905dc1ccc9f0a172c07a7e7fb2b6fff1fca8d6572a5aa4c9b6bac51","562128747905dc1ccc9f0a172c07a7e7fb2b6fff1fca8d6572a5aa4c9b6bac51@MarsMSCustomer.onmicrosoft.com","EEID User 8","","b6ff4205-f66b-4125-94dc-de386013b818","SkippedExisting","Ignored"
"dedup-test-9","78a00f37eb729268166b811ca50768b8ff166daee4439395bb462cf4e7bbb190","78a00f37eb729268166b811ca50768b8ff166daee4439395bb462cf4e7bbb190@MarsMSCustomer.onmicrosoft.com","EEID User 9","","fcd23439-17a9-4c1e-b2b1-eed5e07bd3cd","SkippedExisting","Ignored"
"dedup-test-10","dacd2b021e0730fbd76f189de9eafe6fb0517b6b6d16ff66ef48e5eff2a85fbd","dacd2b021e0730fbd76f189de9eafe6fb0517b6b6d16ff66ef48e5eff2a85fbd@MarsMSCustomer.onmicrosoft.com","EEID User 10","","1fbf4a14-16da-4d3b-80de-444d7c77945a","SkippedExisting","Ignored"
"dedup-test-11","0e8f9560085c629bf3278c87a136e36bc082ab767eeb58e1957323dfdf34db1c","0e8f9560085c629bf3278c87a136e36bc082ab767eeb58e1957323dfdf34db1c@MarsMSCustomer.onmicrosoft.com","EEID User 11","","c33854e2-7c9a-4156-b53f-4e8ca8c3ec8e","SkippedExisting","Ignored"
"dedup-test-12","e79074df7ce27dbdce2665689c4d2ec25a7d98940319885f915348a5b122c621","e79074df7ce27dbdce2665689c4d2ec25a7d98940319885f915348a5b122c621@MarsMSCustomer.onmicrosoft.com","EEID User 12","","71e5f3c9-735f-4cf3-bc8a-24a9051e554c","SkippedExisting","Ignored"
"dedup-test-13","c271f160d80d69dce4aeb8031adbfd74a826a8c538b54845f345ea4a186c7a7b","c271f160d80d69dce4aeb8031adbfd74a826a8c538b54845f345ea4a186c7a7b@MarsMSCustomer.onmicrosoft.com","EEID User 13","","fa47c3bc-babf-4441-bc7f-3b5141641930","SkippedExisting","Ignored"
